id,make,model,manufacture_year,car_status
1,Ford,F350,2003,reserved
2,Suzuki,Sidekick,1992,reserved
4,Dodge,Ram Van B150,1993,unavailable
6,Ford,E150,2009,maintenance
7,BMW,X5,2002,rented
8,Honda,Element,2009,sold
9,Mazda,626,1993,sold
11,Volkswagen,GTI,2012,sold
12,Mazda,MPV,1994,sold
13,Chevrolet,Silverado 3500,2009,rented
14,Toyota,T100 Xtra,1997,reserved
16,Mercury,Marauder,2004,unavailable
17,Saturn,VUE,2003,available
18,Nissan,200SX,1996,available
19,Mitsubishi,GTO,1998,reserved
20,Lexus,SC,1998,unavailable
21,TOYOTA,YARIS,2012,available
5,Chrysler,LeBaron,1992,sold
10,Nissan,Titan,2011,available
15,BMW,Z3,1996,unavailable
22,hyundai,elantra,2013,reserved
3,BMW,7 Series,2010,suspended
23,Kramer-Jones,Corolla,2019,available
24,"Allen, Humphrey and Hunt",Corolla,2013,sold
25,Davis-Webster,Model S,2008,unavailable
26,"Williams, Valencia and Williams",Camry,2022,available
27,Mills Inc,Civic,2012,rented
28,Francis Ltd,Civic,2022,maintenance
29,"Brady, Sullivan and Ross",Camry,2015,rented
30,King-Woodard,Camry,2015,rented
31,"Franklin, Harper and Rose",Civic,2008,available
32,"James, Gonzalez and Trevino",Model S,2016,unavailable
33,Christian and Sons,Corolla,2022,available
34,"Johnson, Tyler and Lawson",Mustang,2008,maintenance
35,"Wood, Williams and Hughes",Corolla,2011,maintenance
36,Watson-Henderson,Mustang,2004,available
37,Brown-Peters,Corolla,2010,unavailable
38,"Clark, Pratt and Clark",Mustang,2013,maintenance
39,Livingston PLC,Corolla,2001,unavailable
40,Russell Group,Camry,2014,rented
41,"Chang, Thompson and Foster",Model S,2025,available
42,Rogers-Howard,Civic,2014,available
43,Moore-Cox,Mustang,2009,available
44,Hall-Swanson,Mustang,2016,maintenance
45,"Welch, Mendez and Torres",Mustang,2022,sold
46,Russell and Sons,Corolla,2008,unavailable
47,Mcbride-Cantu,Civic,2017,rented
48,Henderson LLC,Corolla,2009,maintenance
49,Buckley-Vaughn,Civic,2003,sold
50,Morales-Hanson,Camry,2006,sold
51,Smith-Lee,Corolla,2011,maintenance
52,Willis-Mayo,Civic,2002,unavailable
53,Wright-Lee,Corolla,2004,sold
54,"Wise, Gilbert and Taylor",Model S,2007,maintenance
55,Moore-Webb,Model S,2009,maintenance
56,Robinson and Sons,Model S,2011,available
57,Ramirez-Johnson,Mustang,2017,unavailable
58,Davis Group,Model S,2020,unavailable
59,"Moses, Graham and Wright",Civic,2017,available
60,"Burns, Brown and Gibson",Corolla,2003,maintenance
61,"Perez, Torres and Scott",Corolla,2021,sold
62,Johnson-Rocha,Model S,2014,sold
63,"Washington, Fox and Hernandez",Model S,2006,available
64,"Williams, Gross and Davis",Corolla,2014,unavailable
65,"Gallegos, Yang and Parrish",Civic,2016,maintenance
66,"Simmons, Clark and Allen",Model S,2011,unavailable
67,Molina LLC,Civic,2025,unavailable
68,Hoffman Inc,Model S,2000,rented
69,Vance-Jackson,Corolla,2014,sold
70,Miller-Crosby,Model S,2019,available
71,Velasquez and Sons,Corolla,2019,rented
72,Acosta-Mcconnell,Model S,2025,available
73,"Guerrero, Johnson and Hampton",Camry,2001,unavailable
74,Joseph-Higgins,Corolla,2014,maintenance
75,Warner Group,Model S,2015,sold
76,Rodriguez and Sons,Mustang,2005,unavailable
77,"Fleming, Harper and Johnson",Mustang,2023,available
78,Sweeney-Hawkins,Mustang,2020,available
79,"Jordan, Trevino and Johnson",Mustang,2008,rented
80,Wade-Anderson,Corolla,2022,sold
81,Vasquez-Contreras,Mustang,2012,sold
82,Walker-Jones,Mustang,2002,unavailable
83,"Dixon, Johnson and Chavez",Civic,2023,unavailable
84,Hamilton-Cooper,Model S,2008,unavailable
85,Neal PLC,Mustang,2022,unavailable
86,"Nichols, Young and Smith",Model S,2007,maintenance
87,Molina-Estes,Model S,2013,rented
88,"Ross, Willis and Williams",Civic,2015,maintenance
89,Peterson and Sons,Civic,2020,unavailable
90,Webb Group,Mustang,2009,unavailable
91,Barnes-Mcclain,Mustang,2023,unavailable
92,"Moore, Ferguson and Morris",Corolla,2022,rented
93,Kent-Graves,Corolla,2011,available
94,Dixon-Baker,Civic,2011,sold
95,Jackson and Sons,Model S,2000,available
96,Clark-Dennis,Corolla,2003,rented
97,Bass-Schneider,Civic,2000,unavailable
98,"Torres, Sawyer and Conley",Camry,2009,available
99,Fletcher-Elliott,Corolla,2025,available
100,Hunt-Brown,Camry,2018,rented
101,"Elliott, Dillon and Moore",Model S,2014,maintenance
102,Smith-Brown,Corolla,2019,sold
103,King Ltd,Civic,2020,sold
104,Miller Inc,Model S,2013,unavailable
105,Choi-Orozco,Corolla,2025,rented
106,"Dean, York and Rodriguez",Model S,2021,maintenance
107,Whitehead PLC,Camry,2018,unavailable
108,Atkins Ltd,Model S,2007,rented
109,Phillips LLC,Model S,2006,sold
110,Harris Group,Mustang,2005,available
111,Lee Group,Civic,2006,sold
112,Sellers Inc,Civic,2002,available
113,Thompson PLC,Mustang,2018,available
114,Rios-Scott,Civic,2020,available
115,Morris-Martinez,Corolla,2020,maintenance
116,"Robinson, Nixon and Martinez",Model S,2024,unavailable
117,Soto LLC,Mustang,2012,rented
118,"Little, Williams and Flores",Civic,2013,available
119,Blake-Martinez,Camry,2017,unavailable
120,Thompson Inc,Mustang,2013,rented
121,Gonzales Inc,Camry,2001,unavailable
122,Castillo LLC,Civic,2009,available
